surveyId,fold,country,spatial_block,matched_v29_f1,v31_f1,delta_f1,predicted_cardinality,swaps
1788531,1,Denmark,+056:+008,0.7,0.7,0.0,13,0
1788960,1,Denmark,+055:+011,0.4583333333333333,0.4583333333333333,0.0,25,0
1789449,1,France,+043:+005,0.5625,0.5625,0.0,16,0
1789515,1,Belgium,+051:+005,0.3225806451612903,0.25806451612903225,-0.06451612903225806,27,2
1789929,1,Denmark,+056:+008,0.3,0.3,0.0,8,0
1790263,1,Denmark,+056:+008,0.43243243243243246,0.43243243243243246,0.0,21,0
1790335,1,Netherlands,+051:+005,0.25,0.25,0.0,20,0
1790726,1,France,+043:+005,0.15,0.15,0.0,28,1
1790872,1,Netherlands,+051:+005,0.6111111111111112,0.6111111111111112,0.0,21,0
1791075,1,Denmark,+055:+011,0.5581395348837209,0.5581395348837209,0.0,19,0
1791180,1,Denmark,+055:+011,0.34782608695652173,0.34782608695652173,0.0,8,0
1791507,1,France,+043:+005,0.0784313725490196,0.0784313725490196,0.0,39,2
1791527,1,Italy,+042:+011,0.18181818181818182,0.18181818181818182,0.0,8,0
1791876,1,Austria,+047:+013,0.5205479452054794,0.547945205479452,0.0273972602739726,40,1
1792129,1,France,+043:+005,0.35714285714285715,0.35714285714285715,0.0,26,0
1792194,1,Denmark,+055:+011,0.047619047619047616,0.047619047619047616,0.0,26,1
1792501,1,France,+043:+005,0.10714285714285714,0.10714285714285714,0.0,36,2
1792576,1,France,+043:+005,0.0,0.0,0.0,8,0
1792911,1,Denmark,+055:+011,0.5263157894736842,0.5263157894736842,0.0,27,0
1792990,1,Denmark,+056:+008,0.6153846153846154,0.6153846153846154,0.0,15,0
1793139,1,Denmark,+056:+008,0.38461538461538464,0.38461538461538464,0.0,14,0
1793166,1,France,+045:+005,0.046511627906976744,0.046511627906976744,0.0,32,2
1793594,1,Denmark,+055:+011,0.3448275862068966,0.3448275862068966,0.0,21,0
1794026,1,Netherlands,+051:+005,0.2857142857142857,0.2857142857142857,0.0,10,0
1794126,1,Netherlands,+051:+005,0.5714285714285714,0.5714285714285714,0.0,22,2
1794233,1,Netherlands,+051:+005,0.13793103448275862,0.13793103448275862,0.0,17,1
1795220,1,Netherlands,+051:+005,0.36363636363636365,0.36363636363636365,0.0,18,0
1795269,1,Denmark,+056:+008,0.29411764705882354,0.29411764705882354,0.0,21,0
1795377,1,France,+043:+005,0.3225806451612903,0.3225806451612903,0.0,18,0
1795635,1,Denmark,+056:+008,0.34285714285714286,0.34285714285714286,0.0,22,0
1795929,1,Denmark,+055:+011,0.4,0.4,0.0,22,0
1796292,1,France,+048:-003,0.4,0.4,0.0,9,0
1796673,1,France,+045:+005,0.5833333333333334,0.5833333333333334,0.0,27,0
1796723,1,Czech Republic,+048:+015,0.38636363636363635,0.38636363636363635,0.0,39,0
1797043,1,Netherlands,+051:+005,0.375,0.375,0.0,14,0
1798065,1,Netherlands,+051:+005,0.18181818181818182,0.18181818181818182,0.0,14,0
1798278,1,Denmark,+056:+008,0.46153846153846156,0.46153846153846156,0.0,14,0
1798450,1,Poland,+054:+016,0.32558139534883723,0.32558139534883723,0.0,30,0
1799171,1,Denmark,+056:+008,0.48,0.48,0.0,13,0
1799209,1,Italy,+043:+011,0.14285714285714285,0.14285714285714285,0.0,17,0
1799678,1,Denmark,+056:+008,0.3448275862068966,0.3448275862068966,0.0,10,0
1799881,1,Denmark,+056:+008,0.6,0.6,0.0,20,0
1799883,1,Denmark,+056:+008,0.5714285714285714,0.5714285714285714,0.0,10,0
1799998,1,Netherlands,+051:+005,0.14285714285714285,0.14285714285714285,0.0,17,1
1800139,1,Netherlands,+051:+005,0.43478260869565216,0.43478260869565216,0.0,17,0
1800396,1,France,+044:+001,0.35714285714285715,0.35714285714285715,0.0,18,0
1800903,1,Denmark,+055:+011,0.23529411764705882,0.23529411764705882,0.0,18,0
1800915,1,Italy,+043:+011,0.12903225806451613,0.12903225806451613,0.0,17,0
1800951,1,Denmark,+055:+011,0.2564102564102564,0.2564102564102564,0.0,27,0
1801049,1,Denmark,+056:+008,0.46808510638297873,0.46808510638297873,0.0,26,0
1801136,1,Denmark,+056:+008,0.375,0.375,0.0,12,0
1801623,1,Italy,+037:+013,0.22950819672131148,0.22950819672131148,0.0,40,2
1801642,1,France,+043:+005,0.06060606060606061,0.12121212121212122,0.06060606060606061,28,2
1801672,1,Denmark,+056:+008,0.4067796610169492,0.4067796610169492,0.0,21,0
1801912,1,Denmark,+056:+008,0.5454545454545454,0.5454545454545454,0.0,10,0
1802082,1,Denmark,+056:+008,0.5142857142857142,0.5142857142857142,0.0,20,0
1802166,1,Denmark,+056:+008,0.0,0.0,0.0,9,0
